Outcode,Latitude,Longitude
AB10,57.131086,-2.122482
AB11,57.13121,-2.082261
AB12,57.098381,-2.1724
AB13,57.108,-2.237
AB14,57.101,-2.27
AB15,57.143396,-2.199525
AB16,57.161,-2.156
AB21,57.245343,-2.22555
AB22,57.187186,-2.131376
AB23,57.230843,-2.092813
AB25,57.154591,-2.118918
AB30,56.851566,-2.469034
AB31,57.066594,-2.533141
AB32,57.151623,-2.372573
AB33,57.225,-2.741
AB34,57.094498,-2.815032
AB35,57.038,-3.149
AB36,57.197,-3.067
AB37,57.331,-3.351
AB38,57.486,-3.225
AB39,56.978,-2.217
AB41,57.376,-2.105
AB42,57.501,-1.888
AB43,57.637345,-2.066319
AB44,57.669,-2.492
AB45,57.651,-2.566
AB51,57.289,-2.405
AB52,57.344,-2.607
AB53,57.530753,-2.392198
AB54,57.454,-2.763
AB55,57.491337,-2.997465
AB56,57.666412,-2.906093
AL1,51.748873,-0.328511
AL10,51.764893,-0.240376
AL2,51.718527,-0.329894
AL3,51.79351,-0.400949
AL4,51.783294,-0.285137
AL5,51.820047,-0.366133
AL6,51.831016,-0.208101
AL7,51.797992,-0.183996
AL8,51.803892,-0.222712
AL9,51.746546,-0.19028
B1,52.4792,-1.910378
B10,52.468728,-1.853245
B11,52.458409,-1.852449
B12,52.463585,-1.900077
B13,52.43701,-1.882258
B14,52.420689,-1.885614
B15,52.462825,-1.927011
B16,52.479854,-1.935623
B17,52.464947,-1.967478
B18,52.490946,-1.927561
B19,52.49658,-1.908471
B2,52.479313,-1.899401
B20,52.516158,-1.919277
B21,52.509929,-1.941478
B23,52.526621,-1.855603
B24,52.518251,-1.825529
B25,52.464577,-1.837034
B26,52.462616,-1.781229
B27,52.443168,-1.821618
B28,52.426758,-1.83976
B29,52.43594,-1.944866
B3,52.480608,-1.903612
B30,52.421012,-1.925162
B31,52.410197,-1.974416
B32,52.437666,-2.001487
B33,52.477126,-1.788998
B34,52.494359,-1.785307
B35,52.51832,-1.788507
B36,52.500333,-1.78411
B37,52.47749,-1.753672
B38,52.396208,-1.926215
B4,52.483372,-1.890745
B40,52.462521,-1.727142
B42,52.531917,-1.910954
B43,52.548295,-1.924235
B44,52.546141,-1.884455
B45,52.383095,-2.002193
B46,52.502405,-1.680957
B47,52.392856,-1.878858
B48,52.359024,-1.940266
B49,52.214357,-1.866247
B5,52.465858,-1.903668
B50,52.175362,-1.844343
B6,52.510131,-1.882424
B60,52.317093,-2.04617
B61,52.348538,-2.087815
B62,52.439416,-2.047562
B63,52.450894,-2.071439
B64,52.474398,-2.069161
B65,52.48484,-2.04352
B66,52.49093,-1.968468
B67,52.484635,-1.980759
B68,52.482799,-2.000643
B69,52.501095,-2.030596
B7,52.494562,-1.864605
B70,52.525509,-2.003138
B71,52.528811,-1.986258
B72,52.550487,-1.821869
B73,52.552365,-1.854077
B74,52.583927,-1.861645
B75,52.587721,-1.802578
B76,52.546227,-1.7572
B77,52.615575,-1.667368
B78,52.594458,-1.68771
B79,52.670108,-1.65218
B8,52.490913,-1.843869
B80,52.283983,-1.886906
B9,52.47764,-1.851287
B90,52.397379,-1.824612
B91,52.414462,-1.77557
B92,52.428283,-1.744567
B93,52.370204,-1.7303
B94,52.34772,-1.790566
B95,52.273603,-1.787085
B96,52.264208,-1.973759
B97,52.297411,-1.973224
B98,52.308748,-1.905814
BA1,51.412421,-2.364541
BA10,51.119452,-2.425421
BA11,51.222273,-2.338774
BA12,51.153475,-2.153233
BA13,51.26019,-2.169008
BA14,51.321183,-2.183504
BA15,51.36125,-2.262028
BA16,51.129529,-2.751422
BA2,51.334721,-2.389162
BA20,50.937882,-2.645235
BA21,50.961038,-2.640292
BA22,50.967614,-2.615037
BA3,51.258476,-2.481704
BA4,51.152393,-2.532475
BA5,51.226542,-2.659097
BA6,51.137055,-2.710412
BA7,51.088054,-2.530787
BA8,51.012263,-2.411274
BA9,51.056438,-2.420397
BB1,53.755406,-2.456299
BB10,53.789249,-2.202298
BB11,53.77265,-2.267867
BB12,53.820884,-2.311476
BB18,53.91102,-2.165807
BB2,53.741,-2.5
BB3,53.698,-2.465
BB4,53.703,-2.29
BB5,53.754,-2.371
BB6,53.792,-2.417
BB7,53.874,-2.386
BB8,53.858,-2.163
BB9,53.856459,-2.233034
BD1,53.795331,-1.754943
BD10,53.827504,-1.724543
BD11,53.745536,-1.676584
BD12,53.754484,-1.757602
BD13,53.796096,-1.861498
BD14,53.784158,-1.82565
BD15,53.812296,-1.846475
BD16,53.852957,-1.835035
BD17,53.849992,-1.759311
BD18,53.829517,-1.78032
BD19,53.730002,-1.714016
BD2,53.816628,-1.739159
BD20,53.906112,-1.973541
BD21,53.850815,-1.902782
BD22,53.850465,-2.004176
BD23,54.065761,-2.108685
BD24,54.107831,-2.254446
BD3,53.799674,-1.728295
BD4,53.773519,-1.702491
BD5,53.778323,-1.756019
BD6,53.766497,-1.784479
BD7,53.783309,-1.783879
BD8,53.80229,-1.788241
BD9,53.818663,-1.789009
BH1,50.725566,-1.871704
BH10,50.758082,-1.898459
BH11,50.760473,-1.921634
BH12,50.738831,-1.926102
BH13,50.704265,-1.929996
BH14,50.717734,-1.94383
BH15,50.712652,-1.99488
BH16,50.745831,-2.047985
BH17,50.750635,-1.963527
BH18,50.759083,-1.99756
BH19,50.633701,-1.996762
BH2,50.723265,-1.878313
BH20,50.691366,-2.132027
BH21,50.85094,-1.974827
BH22,50.807066,-1.887595
BH23,50.765128,-1.768778
BH24,50.852293,-1.76088
BH25,50.765682,-1.657841
BH3,50.734458,-1.881671
BH31,50.875015,-1.87281
BH4,50.721093,-1.897089
BH5,50.72601,-1.840529
BH6,50.730295,-1.802762
BH7,50.738452,-1.830801
BH8,50.745078,-1.846279
BH9,50.752624,-1.886602
BL0,53.636852,-2.30806
BL1,53.597754,-2.453484
BL2,53.593693,-2.391324
BL3,53.568916,-2.422751
BL4,53.547,-2.4
BL5,53.55759,-2.502241
BL6,53.592,-2.539
BL7,53.63,-2.421
BL8,53.605,-2.327
BL9,53.5977,-2.279207
BN1,50.850784,-0.142862
BN10,50.797529,0.001428
BN11,50.813828,-0.373322
BN12,50.818779,-0.430321
BN13,50.848707,-0.425484
BN14,50.847599,-0.385276
BN15,50.838028,-0.32234
BN16,50.834167,-0.496557
BN17,50.818908,-0.551567
BN18,50.859865,-0.582145
BN2,50.826109,-0.079503
BN20,50.775889,0.233311
BN21,50.773,0.277
BN22,50.788,0.284
BN23,50.798425,0.309738
BN24,50.818566,0.338254
BN25,50.781231,0.12157
BN26,50.82473,0.197928
BN27,50.877024,0.2646
BN3,50.840303,-0.179222
BN41,50.84153,-0.219408
BN42,50.838239,-0.225923
BN43,50.853764,-0.269797
BN44,50.904437,-0.321909
BN45,50.868275,-0.179501
BN5,50.930604,-0.261921
BN6,50.934068,-0.149694
BN7,50.880791,-0.024434
BN8,50.908128,0.080611
BN9,50.800774,0.04936
BR1,51.412584,0.024843
BR2,51.370626,0.029214
BR3,51.402093,-0.029233
BR4,51.375861,-0.004384
BR5,51.391538,0.100783
BR6,51.354868,0.101492
BR7,51.412562,0.058473
BR8,51.394097,0.177071
BS1,51.454813,-2.598741
BS10,51.516834,-2.629762
BS11,51.497,-2.675
BS13,51.412,-2.611
BS14,51.413,-2.561
BS15,51.452788,-2.504724
BS16,51.485,-2.51
BS2,51.457911,-2.579273
BS20,51.479,-2.752
BS21,51.42869,-2.827981
BS22,51.36,-2.929
BS23,51.343,-2.97
BS24,51.326837,-2.908488
BS25,51.318027,-2.829428
BS26,51.279,-2.855
BS27,51.271,-2.77
BS28,51.225,-2.814
BS29,51.334672,-2.866346
BS3,51.436461,-2.606328
BS30,51.445,-2.472
BS31,51.408,-2.491
BS32,51.555759,-2.571819
BS34,51.521284,-2.567585
BS35,51.596,-2.549
BS36,51.526,-2.486
BS37,51.542237,-2.414046
BS39,51.340495,-2.544411
BS4,51.435995,-2.565165
BS40,51.339029,-2.694831
BS41,51.422,-2.651
BS48,51.420443,-2.732437
BS49,51.37468,-2.809159
BS5,51.463825,-2.5499
BS6,51.473759,-2.597623
BS7,51.486629,-2.580236
BS8,51.45552,-2.655662
BS9,51.485602,-2.621438
BS99,51.458,-2.573
BT1,54.601176,-5.925854
BT10,54.55807,-5.988757
BT11,54.577625,-5.999892
BT12,54.587395,-5.966411
BT13,54.610526,-5.96251
BT14,54.631355,-5.996693
BT15,54.639727,-5.94435
BT16,54.594316,-5.794319
BT17,54.563774,-6.022777
BT18,54.641514,-5.808907
BT19,54.64479,-5.668396
BT2,54.592745,-5.929459
BT20,54.655902,-5.664178
BT21,54.637195,-5.567919
BT22,54.479397,-5.540166
BT23,54.539753,-5.737487
BT24,54.407121,-5.876774
BT25,54.378729,-6.112343
BT26,54.448195,-6.058486
BT27,54.494518,-6.011254
BT28,54.53944,-6.156332
BT29,54.599378,-6.17755
BT3,54.617316,-5.893673
BT30,54.344105,-5.715785
BT31,54.277897,-6.010497
BT32,54.450271,-6.017143
BT33,54.344555,-5.920986
BT34,54.151208,-6.115586
BT35,54.563346,-6.349597
BT36,54.685324,-5.968416
