sent,word_num,word_len,word,orig,ent_type,pos1,pos2,pos3,係り受け,木の深さ
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,6,コネクトーム,コネクトーム,,名詞,普通名詞,一般,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,1,:,：,,補助記号,一般,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,1,脳,脳,,名詞,普通名詞,一般,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,1,の,の,,助詞,格助詞,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,2,配線,配線,,名詞,普通名詞,サ変可能,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,1,は,は,,助詞,係助詞,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,2,どの,どの,,連体詞,,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,2,よう,様,,形状詞,助動詞語幹,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,1,に,だ,,助動詞,,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,1,「,「,,補助記号,括弧開,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,3,わたし,私,,代名詞,,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,1,」,」,,補助記号,括弧閉,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,1,を,を,,助詞,格助詞,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,5,つくり出す,作り出す,,動詞,一般,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,1,の,の,,助詞,準体助詞,,[],1
コネクトーム:脳の配線はどのように「わたし」をつくり出すのか,16,1,か,か,,助詞,終助詞,,[],1
マーケット進化論 経済が解き明かす日本の歴史,8,5,マーケット,マーケット,,名詞,普通名詞,一般,[],1
マーケット進化論 経済が解き明かす日本の歴史,8,3,進化論,進化論,,名詞,普通名詞,一般,[],1
マーケット進化論 経済が解き明かす日本の歴史,8,2,経済,経済,,名詞,普通名詞,一般,[],1
マーケット進化論 経済が解き明かす日本の歴史,8,1,が,が,,助詞,格助詞,,[],1
マーケット進化論 経済が解き明かす日本の歴史,8,5,解き明かす,解き明かす,,動詞,一般,,[],1
マーケット進化論 経済が解き明かす日本の歴史,8,2,日本,日本,,名詞,固有名詞,地名,[],1
マーケット進化論 経済が解き明かす日本の歴史,8,1,の,の,,助詞,格助詞,,[],1
マーケット進化論 経済が解き明かす日本の歴史,8,2,歴史,歴史,,名詞,普通名詞,一般,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,2,貨幣,貨幣,,名詞,普通名詞,一般,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,1,の,の,,助詞,格助詞,,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,1,「,「,,補助記号,括弧開,,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,1,新,新,,接頭辞,,,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,1,」,」,,補助記号,括弧閉,,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,3,世界史,世界史,,名詞,普通名詞,一般,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,1,―,―,,補助記号,一般,,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,1,―,―,,補助記号,一般,,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,5,ハンムラビ,ハンムラビ,,名詞,固有名詞,人名,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,2,法典,法典,,名詞,普通名詞,一般,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,2,から,から,,助詞,格助詞,,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,3,ビット,ビット,,名詞,普通名詞,助数詞可能,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,3,コイン,コイン,,名詞,普通名詞,一般,[],1
貨幣の「新」世界史――ハンムラビ法典からビットコインまで,14,2,まで,まで,,助詞,副助詞,,[],1
父が息子に語るマクロ経済学,7,1,父,父,,名詞,普通名詞,一般,[],1
父が息子に語るマクロ経済学,7,1,が,が,,助詞,格助詞,,[],1
父が息子に語るマクロ経済学,7,2,息子,息子,,名詞,普通名詞,一般,[],1
父が息子に語るマクロ経済学,7,1,に,に,,助詞,格助詞,,[],1
父が息子に語るマクロ経済学,7,2,語る,語る,,動詞,一般,,[],1
父が息子に語るマクロ経済学,7,3,マクロ,マクロ,,名詞,普通名詞,形状詞可能,[],1
父が息子に語るマクロ経済学,7,3,経済学,経済学,,名詞,普通名詞,一般,[],1
ヤバすぎる経済学,3,2,ヤバ,やばい,,形容詞,一般,,[],1
ヤバすぎる経済学,3,3,すぎる,過ぎる,,動詞,非自立可能,,[],1
ヤバすぎる経済学,3,3,経済学,経済学,,名詞,普通名詞,一般,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,6,ローカリティ,ローカリティー,,名詞,普通名詞,一般,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,1,の,の,,助詞,格助詞,,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,3,社会学,社会学,,名詞,普通名詞,一般,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,1,?,？,,補助記号,句点,,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,6,ネットワーク,ネットワーク,,名詞,普通名詞,一般,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,1,・,・,,補助記号,一般,,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,2,集団,集団,,名詞,普通名詞,一般,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,1,・,・,,補助記号,一般,,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,2,組織,組織,,名詞,普通名詞,サ変可能,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,1,と,と,,助詞,格助詞,,[],1
ローカリティの社会学?ネットワーク・集団・組織と行政,11,2,行政,行政,,名詞,普通名詞,一般,[],1
